SYS_Time,EXCH,INSTRUMENT,EXPIRY,OPTION,STRIKE,tradedDate,time,underlyingValue,lastPrice,buyPrice1,sellPrice1,buyQuantity1,sellQuantity1,totalBuyQuantity,totalSellQuantity,openInterest,marketLot,tradedVolume,tradedValue,change,pChange,strikePrice,expiryDate,optionType,closePrice,openPrice,lowPrice,highPrice
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9800,24-Jul-17,12:59:55,9967.6,165.9,165.25,165.9,300,1200,540525,96375,2105100,75,,,change,35.65,9800,27-Jul-17,CE,0,128.15,125.2,169.6
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9700,24-Jul-17,12:59:55,9967.6,258.6,258.75,260,75,75,428325,52950,1275825,75,,,change,22.33,9700,27-Jul-17,CE,0,221.65,216,264
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9600,24-Jul-17,13:00:55,9966.05,357,356.1,358.2,75,150,120075,43950,965625,75,,,change,15.2,9600,27-Jul-17,CE,0,334.9,308.5,361.4
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9500,24-Jul-17,13:00:55,9966.05,457.95,456.45,458.4,75,75,56625,34050,956400,75,,,change,11.49,9500,27-Jul-17,CE,0,424.45,416.05,462.1
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9400,24-Jul-17,13:00:55,9966.05,554.5,553.4,555.55,150,1575,82125,32250,444900,75,,,change,9.44,9400,27-Jul-17,CE,0,511.25,511.25,558.25
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10200,24-Jul-17,13:04:25,9962.8,235.95,238.85,240.15,75,300,54450,19350,50025,75,,,change,-17.84,10200,27-Jul-17,PE,0,277.15,234,283.1
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10100,24-Jul-17,13:05:25,9963.2,143,141.75,142.75,150,300,877350,55875,146250,75,,,change,-23.69,10100,27-Jul-17,PE,0,173.7,135,183.45
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10000,24-Jul-17,13:03:25,9964.1,61.65,61.2,61.6,450,1275,328950,190050,2446650,75,,,change,-38.75,10000,27-Jul-17,PE,0,94.8,56.15,96.35
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9900,24-Jul-17,13:05:25,9963.2,19.45,19.4,19.6,4875,1575,562350,814275,6722025,75,,,change,-49.68,9900,27-Jul-17,PE,0,32,18,35.7
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9800,24-Jul-17,13:05:25,9963.2,7.1,7.05,7.15,2400,4800,471675,645225,7124100,75,,,change,-48.36,9800,27-Jul-17,PE,0,11.35,6.6,12.7
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9700,24-Jul-17,13:05:25,9963.2,3.3,3.3,3.35,3450,6075,155550,186750,4934100,75,,,change,-43.59,9700,27-Jul-17,PE,0,5.4,3.1,5.45
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9600,24-Jul-17,13:05:55,9964.3,2.15,2.1,2.15,4500,10725,2168175,104625,4485825,75,,,change,-24.56,9600,27-Jul-17,PE,0,2.2,1.75,2.35
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9500,24-Jul-17,13:06:25,9964.4,1.55,1.55,1.6,24075,23025,2717475,113100,4914450,75,,,change,-24.39,9500,27-Jul-17,PE,0,1.7,1.25,1.7
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9400,24-Jul-17,13:05:55,9964.3,1.2,1.15,1.2,23925,14550,2466600,80475,4234800,75,,,change,-25,9400,27-Jul-17,PE,0,1.25,1,1.3
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10200,24-Jul-17,13:06:25,9964.4,1.2,1.2,1.25,55200,55500,2136975,314325,1857975,75,,,change,-14.29,10200,27-Jul-17,CE,0,1.8,0.95,1.8
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10100,24-Jul-17,13:06:25,9964.4,4.3,4.25,4.3,1575,1425,2668050,248100,3258000,75,,,change,26.47,10100,27-Jul-17,CE,0,4.9,2.9,4.9
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10000,24-Jul-17,13:06:25,9964.4,22.3,22.3,22.35,600,750,2370075,991125,6877425,75,,,change,44.34,10000,27-Jul-17,CE,0,16.5,13.55,24.65
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9900,24-Jul-17,13:07:25,9963.8,74.8,74.85,75.1,600,450,438075,297450,3528900,75,,,change,50.35,9900,27-Jul-17,CE,0,50,46.6,80
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9800,24-Jul-17,13:07:25,9963.8,162,161.9,162.35,150,150,541425,96825,2103525,75,,,change,32.46,9800,27-Jul-17,CE,0,128.15,125.2,169.6
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9700,24-Jul-17,13:07:25,9963.8,255.1,254.5,256.2,75,75,428775,54150,1275975,75,,,change,20.67,9700,27-Jul-17,CE,0,221.65,216,264
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9600,24-Jul-17,13:07:25,9963.8,353,353.4,355.4,75,75,120450,43950,964725,75,,,change,13.91,9600,27-Jul-17,CE,0,334.9,308.5,361.4
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9500,24-Jul-17,13:07:25,9963.8,454.7,454.3,456.2,375,75,56475,34500,956100,75,,,change,10.7,9500,27-Jul-17,CE,0,424.45,416.05,462.1
Mon Jul 24 13:06:10 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9400,24-Jul-17,13:07:25,9963.8,551.8,550.95,552.45,150,750,85125,31200,444900,75,,,change,8.91,9400,27-Jul-17,CE,0,511.25,511.25,558.25
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10200,24-Jul-17,13:10:56,9963.5,238.15,236.85,238.55,150,300,55425,20325,50025,75,,,change,-17.08,10200,27-Jul-17,PE,0,277.15,234,283.1
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10100,24-Jul-17,13:10:56,9963.5,142,140.8,142,75,300,880200,52575,146250,75,,,change,-24.23,10100,27-Jul-17,PE,0,173.7,135,183.45
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10000,24-Jul-17,13:11:26,9963.15,61.1,61.05,61.4,1500,675,366900,189150,2446125,75,,,change,-39.29,10000,27-Jul-17,PE,0,94.8,56.15,96.35
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9900,24-Jul-17,13:10:56,9963.5,19.35,19.3,19.4,1050,375,572475,846375,6730200,75,,,change,-49.94,9900,27-Jul-17,PE,0,32,18,35.7
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9800,24-Jul-17,13:11:56,9963.3,7,7,7.1,4650,5100,456300,651150,7103475,75,,,change,-49.09,9800,27-Jul-17,PE,0,11.35,6.6,12.7
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9700,24-Jul-17,13:11:56,9963.3,3.3,3.3,3.35,4200,11850,160875,204225,4934025,75,,,change,-43.59,9700,27-Jul-17,PE,0,5.4,3.1,5.45
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9600,24-Jul-17,13:11:56,9963.3,2.15,2.1,2.15,6150,11700,2167875,107700,4476225,75,,,change,-24.56,9600,27-Jul-17,PE,0,2.2,1.75,2.35
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9500,24-Jul-17,13:11:26,9963.15,1.55,1.55,1.6,14100,19125,2680800,108675,4911900,75,,,change,-24.39,9500,27-Jul-17,PE,0,1.7,1.25,1.7
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9400,24-Jul-17,13:12:26,9963.6,1.15,1.15,1.2,20325,15150,2463075,82200,4236150,75,,,change,-28.13,9400,27-Jul-17,PE,0,1.25,1,1.3
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10200,24-Jul-17,13:12:26,9963.6,1.25,1.2,1.25,40800,44700,2135325,264975,1858275,75,,,change,-10.71,10200,27-Jul-17,CE,0,1.8,0.95,1.8
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10100,24-Jul-17,13:12:56,9963.6,4.2,4.15,4.2,3450,2400,2664525,252000,3270900,75,,,change,23.53,10100,27-Jul-17,CE,0,4.9,2.9,4.9
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10000,24-Jul-17,13:12:26,9963.6,22.2,22.2,22.3,2250,1875,2359425,1012350,6887925,75,,,change,43.69,10000,27-Jul-17,CE,0,16.5,13.55,24.65
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9900,24-Jul-17,13:11:56,9963.3,75.5,75.2,75.5,450,675,440475,290625,3524925,75,,,change,51.76,9900,27-Jul-17,CE,0,50,46.6,80
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9800,24-Jul-17,13:12:56,9963.6,160.05,160,160.7,450,1125,539625,96900,2097525,75,,,change,30.87,9800,27-Jul-17,CE,0,128.15,125.2,169.6
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9700,24-Jul-17,13:12:56,9963.6,254.7,253.2,254.4,300,225,432000,53625,1274400,75,,,change,20.48,9700,27-Jul-17,CE,0,221.65,216,264
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9600,24-Jul-17,13:13:56,9963.25,353,352.35,354.25,300,75,120525,44025,964800,75,,,change,13.91,9600,27-Jul-17,CE,0,334.9,308.5,361.4
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9500,24-Jul-17,13:13:26,9963.35,453,453.85,455.5,75,75,55650,34275,956025,75,,,change,10.29,9500,27-Jul-17,CE,0,424.45,416.05,462.1
Mon Jul 24 13:12:03 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9400,24-Jul-17,13:13:56,9963.25,550.05,549.05,550.9,300,1500,82725,31950,444750,75,,,change,8.57,9400,27-Jul-17,CE,0,511.25,511.25,558.25
Mon Jul 24 13:17:56 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10200,24-Jul-17,13:16:56,9957.85,246.3,244.05,245.5,75,375,54825,20025,50025,75,,,change,-14.24,10200,27-Jul-17,PE,0,277.15,234,283.1
Mon Jul 24 13:17:56 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10100,24-Jul-17,13:16:56,9957.85,148.85,148,149,150,75,881625,52950,146475,75,,,change,-20.57,10100,27-Jul-17,PE,0,173.7,135,183.45
Mon Jul 24 13:17:56 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10000,24-Jul-17,13:17:26,9958.9,65.3,65.1,65.55,675,1125,371775,183300,2431950,75,,,change,-35.12,10000,27-Jul-17,PE,0,94.8,56.15,96.35
Mon Jul 24 13:17:56 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9900,24-Jul-17,13:16:26,9957.65,21.2,21.05,21.2,975,3375,604575,792450,6758025,75,,,change,-45.15,9900,27-Jul-17,PE,0,32,18,35.7
Mon Jul 24 13:17:56 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9800,24-Jul-17,13:17:26,9958.9,7.3,7.25,7.35,3375,225,470250,633300,7089075,75,,,change,-46.91,9800,27-Jul-17,PE,0,11.35,6.6,12.7
Mon Jul 24 13:17:56 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9700,24-Jul-17,13:17:26,9958.9,3.45,3.4,3.45,1500,3075,150825,194475,4931700,75,,,change,-41.03,9700,27-Jul-17,PE,0,5.4,3.1,5.45
Mon Jul 24 13:17:56 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9600,24-Jul-17,13:17:26,9958.9,2.2,2.15,2.2,18150,6750,2187075,121425,4478775,75,,,change,-22.81,9600,27-Jul-17,PE,0,2.2,1.75,2.35
Mon Jul 24 13:17:56 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9500,24-Jul-17,13:17:56,9959.2,1.6,1.55,1.65,19125,25200,2668725,116175,4908750,75,,,change,-21.95,9500,27-Jul-17,PE,0,1.7,1.25,1.7
Mon Jul 24 13:17:56 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9400,24-Jul-17,13:17:26,9958.9,1.2,1.15,1.2,13350,6825,2450925,74550,4225875,75,,,change,-25,9400,27-Jul-17,PE,0,1.25,1,1.3
